"ID"	"wt_birth"	"car_wt"	"num_ribs"	"car_bf10"	"car_lma"	"sex"	"perc_duroc"	"sire"	"dam"	"litter"	"slgdt_cd"
"210"	1241	2.13	87.07	NA	22.86	41.94	"M"	0.565246270615566	335	318	28	8
"211"	1242	1.04	62.59	NA	15.24	34.84	"F"	0.526409047965787	335	325	32	7
"212"	1244	1.72	71.66	NA	13.97	40	"F"	0.573724464943571	331	482	33	9
"213"	1245	1.45	83.45	NA	20.32	44.84	"M"	0.504140859597735	335	318	28	9
"214"	1246	1.18	78.46	NA	25.4	41.61	"F"	0.403121471573681	330	470	34	8
"215"	1247	1.63	97.96	NA	20.32	48.39	"M"	0.540173868313308	335	483	29	8
"216"	1248	1.54	79.37	NA	15.24	44.19	"F"	0.485654636050603	330	470	34	8
"217"	1252	1.5	81.63	NA	17.78	45.16	"F"	0.540355290779399	330	470	34	9
"218"	1253	1.54	79.82	NA	33.02	31.94	"M"	0.604847102205769	331	471	30	9
"219"	1254	1.95	85.27	NA	31.75	41.93	"F"	NA	326	464	35	NA
"220"	1255	1.36	80.73	NA	25.4	32.9	"M"	0.54551054435121	331	471	30	8
"221"	1256	1.85	74.84	NA	20.32	42.34	"F"	NA	326	464	35	NA
"222"	1257	1.59	83.9	NA	27.94	39.35	"M"	0.480183950714488	331	320	31	8
"223"	1258	1.72	84.35	NA	13.97	51.94	"F"	0.432314675280186	335	466	36	9
"224"	1259	1.59	82.99	NA	35.56	33.23	"M"	0.50048679302613	331	320	31	9
"225"	1260	1.59	83.9	NA	16.51	49.03	"F"	0.507197342520894	335	466	36	9
"226"	1261	1.45	78.46	NA	29.21	39.68	"M"	0.513845016063708	331	320	31	8
"227"	1262	1.59	78.91	NA	17.78	42.9	"F"	0.498855069741989	331	478	37	9
"228"	1264	1.59	78	NA	31.75	37.1	"M"	0.525888719491816	331	478	37	8
"229"	1265	1.68	75.74	NA	27.94	33.87	"M"	0.466735337950037	335	325	32	7
"230"	1266	1.59	77.55	NA	20.32	45.48	"F"	0.51903418469411	331	478	37	8
"231"	1267	1.22	62.81	NA	17.78	36.45	"M"	0.498658109934812	335	325	32	7
"233"	1270	1.27	85.71	NA	25.4	40.32	"F"	0.417040361653532	331	478	37	9
"234"	1271	1.18	84.35	NA	24.13	41.61	"M"	0.509272683081494	330	470	34	9
"235"	1272	1.41	80.73	NA	39.37	34.84	"F"	0.468502048262866	331	478	37	8
"237"	1274	1.41	86.17	NA	12.7	42.9	"F"	0.514591509647546	335	489	38	9
"238"	1275	1.91	82.09	NA	19.05	50.65	"M"	0.483085862867711	335	466	36	8
"239"	1276	1.68	79.82	NA	20.32	39.03	"F"	0.50513139142546	335	489	38	8
"240"	1277	1.5	78.91	NA	17.78	43.55	"M"	0.456801614133408	335	466	36	9
"241"	1278	1.54	72.79	NA	19.05	42.26	"F"	0.407153260098261	335	489	38	7
"242"	1279	1.77	83.45	NA	20.32	41.94	"M"	0.490692678110953	335	466	36	9
"243"	1280	1.59	81.18	NA	17.78	45.81	"F"	0.451050166087551	335	489	38	9
"244"	1281	1.27	74.38	NA	17.78	38.39	"M"	0.55122732418144	335	466	36	9
"245"	1282	1.54	65.76	NA	17.78	36.45	"F"	0.617434881647773	335	489	38	7
"246"	1283	1.68	77.55	NA	31.75	38.71	"M"	0.531172344603197	335	466	36	9
"247"	1284	1.22	69.39	NA	12.7	39.35	"F"	0.452874061544639	335	301	39	8
"248"	1285	1.63	75.74	NA	25.4	31.29	"M"	0.531350961863315	335	466	36	8
"249"	1286	1.13	76.19	NA	20.32	37.1	"F"	0.469922495509888	335	301	39	9
"250"	1287	1.18	80.27	NA	25.4	38.06	"M"	0.512364886533429	331	478	37	9
"251"	1288	1.86	78.91	NA	20.32	41.61	"F"	0.5266556299858	331	321	40	8
"252"	1290	1.18	80.73	NA	15.24	50.32	"F"	0.519095038314734	331	321	40	9
"253"	1291	1.86	72.56	NA	15.24	42.58	"M"	0.47781777956771	335	489	38	7
"254"	1292	1.86	73.02	NA	15.24	41.61	"F"	0.519332036862101	331	321	40	9
"255"	1293	1.54	65.31	NA	17.78	31.61	"M"	0.494822781876918	335	489	38	9
"256"	1294	1.63	87.53	NA	21.59	38.71	"F"	0.568576400501792	335	319	41	9
"257"	1295	1.59	68.71	NA	17.78	37.42	"M"	0.509560577561308	335	489	38	7
"258"	1296	1.36	69.84	NA	12.7	35.16	"F"	0.509791710769394	335	303	42	9
"259"	1297	1.27	84.81	NA	26.67	38.06	"M"	0.550307150940104	335	301	39	9
"260"	1299	1.32	81.63	NA	19.05	41.94	"M"	0.461751274130753	335	301	39	9
"261"	1300	1.91	67.12	NA	15.24	43.55	"F"	0.374008796090686	335	303	42	7
"262"	1301	1.09	78	NA	31.75	30.32	"M"	0.518249377615162	335	301	39	9
"263"	1302	1.59	81.63	NA	12.7	45.81	"F"	0.486896108064666	335	303	42	9
"264"	1303	1.13	85.26	NA	22.86	37.42	"M"	0.553295156222185	335	301	39	9
"265"	1304	1.41	64.85	NA	12.7	39.35	"F"	0.520520584845207	335	303	42	7
"266"	1306	1.36	74.38	NA	17.78	36.45	"F"	0.468515212748844	331	322	43	9
"267"	1307	1.5	81.18	NA	48.26	30	"M"	0.504368348885137	331	321	40	8
"268"	1308	0.95	63.04	NA	NA	NA	"F"	0.501361877956339	331	322	43	9
"269"	1309	2.09	87.07	NA	27.94	33.23	"M"	0.464214040162316	335	319	41	8
"270"	1310	1.63	74.38	NA	17.78	37.1	"F"	0.548047086238826	331	322	43	8
"271"	1311	2.09	81.18	NA	27.94	32.58	"M"	0.495997778766412	335	319	41	8
"272"	1312	0.82	63.04	NA	13.97	38.06	"F"	0.532959939736478	331	322	43	9
"273"	1313	1.72	90.7	NA	29.21	35.81	"M"	0.471557002470227	335	319	41	8
"274"	1314	0.86	68.48	NA	17.78	39.35	"F"	0.527831979695759	331	322	43	9
"275"	1315	1.95	87.53	NA	20.32	38.06	"M"	0.539095209718579	335	319	41	8
"276"	1316	1.68	79.82	14	15.24	42.26	"F"	0.510204373894592	335	312	44	12
"277"	1317	2.22	77.1	NA	15.24	37.42	"M"	0.440300136549835	335	319	41	8
"278"	1319	2	77.1	NA	30.48	32.58	"M"	0.558451974033601	335	303	42	8
"279"	1320	1.63	76.19	15	17.78	44.84	"F"	0.535005023575753	335	312	44	12
"280"	1321	1.72	77.55	NA	27.94	41.94	"M"	0.462293834086849	335	303	42	7
"281"	1322	1.91	75.74	13	19.05	41.94	"F"	0.513993980068405	335	312	44	10
"282"	1323	2.18	70.75	NA	22.86	33.87	"M"	0.488889614050247	335	303	42	7
"283"	1324	1.63	87.53	15	20.32	47.42	"F"	0.544302709907764	335	312	44	12
"284"	1325	1.04	78	NA	22.86	35.81	"M"	0.509650284494572	335	303	42	9
"285"	1326	1.63	84.35	15	17.78	49.68	"F"	0.519866904940668	311	467	45	12
"286"	1327	1.5	78.46	NA	25.4	35.81	"M"	0.500625244159212	331	322	43	8
