ID,wt_birth,car_wt,num_ribs,car_bf10,car_lma,sex,perc_duroc,sire,dam,litter,slgdt_cd
1390,1.41,77.55,15,19.05,43.55,F,0.559584145260667,311,495,50,12
1391,1.68,92.06,13,30.48,47.1,M,0.522656547799836,311,495,50,10
1392,1.86,87.53,15,20.32,44.84,F,0.492125735821761,311,495,50,12
1400,2.04,84.35,12,27.94,42.58,F,0.50817250212381,328,465,51,10
1401,1.5,73.47,13,20.32,32.9,M,0.398498628736872,328,465,51,10
1402,1.27,89.8,16,27.94,42.58,F,0.503377069793613,328,465,51,12
1404,1,87.07,15,NA,NA,F,0.49197294903156,328,465,51,12
1405,1.95,90.7,15,27.94,42.58,M,0.504729691229475,311,490,52,12
1406,1.27,71.2,14,NA,NA,F,0.560892445662374,328,465,51,12
1407,1.45,88.44,15,21.59,44.52,M,0.505077863988224,311,490,52,12
1409,1.95,83.9,12,27.94,45.16,M,0.489030257904378,311,490,52,10
1411,2.27,76.64,12,25.4,40,M,0.501849642115694,311,490,52,10
1414,1.81,87.53,15,NA,NA,F,0.459326914642148,311,490,52,12
1417,1.18,82.99,13,26.67,38.39,M,0.500493766484459,311,476,53,10
1420,1.81,79.37,12,25.4,40.97,F,0.463143726442018,311,476,53,10
1422,2.13,78.46,13,19.05,41.29,F,0.524585098284091,311,476,53,10
1423,2.13,82.99,15,34.29,32.58,M,0.497246678433313,311,476,53,11
1424,2.18,84.58,15,34.29,40.97,F,0.502002953557188,311,476,53,11
1425,1.59,71.66,15,24.13,38.06,M,0.36592622011582,311,476,53,11
1426,2.13,89.34,16,22.86,44.84,F,0.49637465377558,311,476,53,11
1427,1.04,NA,NA,NA,NA,M,0.523875751513078,311,493,54,NA
1428,1.5,76.19,13,17.78,42.9,F,0.521385141714686,311,476,53,10
